"Date","Open.Price","High.Price","Low.Price","Close.Price","VWAP","Volume","Spread.High.Low","Spread.Close.Open","Twitter.Publication.Count","Twitter.Positive.Sentiment","Twitter.Negative.Sentiment.Count","Twitter.Neutral.Sentiment.Count","Twitter.Sentiment.Daily.Maximum","Twitter.Sentiment.Daily.Minimum","Twitter.Sentiment.Daily.Average","News.Heat...Daily.Average.Story.Flow","News.Sentiment...Daily.Average","News.Publication...Daily.Number.of.Stories","News.Heat...Daily.Max.Readership","News.Neutral.Sentiment.Count","News.Negative.Sentiment.Count","News.Positive.Sentiment.Count","News.Publication.Count"
"16-01-2015",861,874.05,852.15,869,866.3351797,394114,21.9,8,24,6,6,11,0.2476,-0.2951,0.1923,2.71,0.5109,310,4,61,25,23,205
"19-01-2015",870,885.75,859.05,879.85,876.9500827,460462,26.7,9.85,7,0.666666666666667,5.33333333333333,1,0.0712,-0.203833333333333,-0.3799,1.32,0.183466666666667,79,1.33333333333333,16.3333333333333,25.3333333333333,24.3333333333333,106
"20-01-2015",882.8,903.75,878.6,901.15,893.9106221,397727,25.15,18.35,2,2,0,0,0.1068,0,0.2039,2,-0.8289,131,2,17,8,21,130
"21-01-2015",904,909.2,892.3,904.65,902.9223518,358347,16.9,0.65,5,1,0,3,0.1068,0,0.0277,2.08,0.6303,161,4,32,20,21,133
"22-01-2015",905.2,906.95,879.35,884.1,888.9485936,425122,27.6,-21.1,1,0,0,1,0,0,0,1.92,0.218,123,3,42,8,43,361
"23-01-2015",890,896.9,877.45,886.95,887.5434606,405448,19.45,-3.05,1,0,1,0,0,-0.1068,-0.1068,0.33,0.4492,27,0,9,4,12,149
"27-01-2015",890.2,896.9,880.9,888.75,888.779595,360069,16,-1.45,0.666666666666667,0,0,0.333333333333333,0,0,0,0.143333333333333,0.219411111111111,15.6666666666667,0,3.55555555555556,0.333333333333333,2.66666666666667,79.8888888888889
"28-01-2015",885.1,909.75,885,905.85,896.783527,398082,24.75,20.75,12,5,0,7,0.3848,0,0.2496,1.46,0.5347,126,4,41,4,12,126
"29-01-2015",906,934.25,902,927.9,925.6908242,550069,32.25,21.9,1,0,0,1,0.4116,0,0,0.96,0.1327,58,2,12,3,17,151
"30-01-2015",930.05,932,910,915.35,918.9262682,242053,22,-14.7,0,0,0,0,0,0,0,0.33,0.6091,25,0,2,3,3,101
"02-02-2015",915.15,919.35,906,907.9,913.8065843,845402,13.35,-7.25,2,0.666666666666667,0,1.33333333333333,0.0356,0,0.0265,0.403333333333333,-0.0153666666666667,40,0,10.6666666666667,2.66666666666667,4.66666666666667,55
"03-02-2015",912.5,940.2,911.3,937.45,929.5347557,432764,28.9,24.95,7,2,0,5,0.1068,0,0.0787,2.04,0.048,185,4,37,7,34,296
"04-02-2015",939.4,943.1,925.7,928.7,936.2515796,399472,17.4,-10.7,8,3,1,4,0.2039,-0.1068,0.2718,1.79,0.3945,140,1,38,11,45,330
"05-02-2015",932.5,938.6,918.15,922.35,928.8769157,333040,20.45,-10.15,0,0,0,0,0,0,0,0.29,0.3609,29,0,12,0,11,208
"06-02-2015",925.7,930.15,904,910.45,917.111185,302154,26.15,-15.25,2,0,0,2,0,0,0,0.63,0.2853,46,0,12,0,12,95
"09-02-2015",903,915.7,891.95,897.3,905.7090599,441242,23.75,-5.7,3,0,0,3,0,0,0,0.346666666666667,0.1307,30.3333333333333,0,12,4,6.33333333333333,52.3333333333333
"10-02-2015",892,905,862.4,882.7,887.4324079,486418,42.6,-9.3,3,0,1,2,0,-0.1068,-0.0454,0.92,0.0474,64,3,18,8,6,110
"11-02-2015",885,904.2,883.65,900.95,894.9171083,263416,20.55,15.95,1,0,0,1,0,0,0,0.79,-0.3435,58,0,15,4,22,123
"12-02-2015",906.35,915,887.3,910.45,900.7907102,315228,27.7,4.1,0,0,0,0,0,0,0,0.71,0.6844,49,0,15,3,5,74
"13-02-2015",915,920,909.65,917.2,915.8995361,277851,10.35,2.2,0,0,0,0,0,0,0,0.08,0.0274,14,0,2,3,1,42
"16-02-2015",920,923.95,900.05,902.65,910.5145451,275109,23.9,-17.35,2,0,0.666666666666667,1,0,-0.0712,-0.0500666666666667,0.33,-0.1412,25.3333333333333,0,7,4.66666666666667,3,49.6666666666667
"18-02-2015",900,908,895.05,901.45,901.5498676,211791,12.95,1.45,4,0,0,4,0,0,0,0.79,0.1933,49,0,12,2,9,83
"19-02-2015",905,907.15,887.55,901.35,896.0934854,291714,19.6,-3.65,3,1,0,2,0.1068,0,0.046,0.92,0.3166,79,0,18,9,9,102
"20-02-2015",897,897,872,873.25,877.7590252,575890,25,-23.75,18,1,5,12,0.1068,-0.2039,-0.1526,2.38,-0.3986,224,3,30,101,20,330
"23-02-2015",869.8,876.4,846.65,851.15,861.7039067,530826,29.75,-18.65,2.33333333333333,0,1,1.33333333333333,0,-0.0712,-0.0780333333333333,0.736666666666667,-0.607733333333333,60.3333333333333,1.33333333333333,17.6666666666667,22.6666666666667,4,121
"24-02-2015",853,857.2,837.1,841.75,843.5364153,616856,20.1,-11.25,2,0,0,2,0,0,0,0.58,-0.895,51,2,11,11,1,113
"25-02-2015",847,856.4,841.6,843.55,847.1729806,643101,14.8,-3.45,0,0,0,0,0,0,0,1.08,-0.2399,88,0,16,12,14,119
"26-02-2015",846.05,850,837.1,842.25,841.5608028,632989,12.9,-3.8,2,0,1,1,0,-0.1068,-0.1026,1.29,-0.1429,86,0,22,6,9,115
"27-02-2015",846.15,860.5,844.6,855.65,851.0935518,426181,15.9,9.5,2,0,0,2,0,0,0,0.75,0.303,58,0,12,3,9,86
"28-02-2015",861.8,868.4,847,866.25,859.9787587,511174,21.4,4.45,0,0,0,0,0,0,0,0,-0.0972,13,0,6,2,1,40
"02-03-2015",869.85,875.6,856.15,863.7,862.4110707,360646,19.45,-6.15,1,0,0,1,0,0,0,1.63,0,115,0,27,15,5,107
"03-03-2015",870,906.5,867.4,901.65,892.4188238,707794,39.1,31.65,5,2,0,3,0.2039,0,0.1499,2.42,0,227,4,24,12,56,277
"04-03-2015",905,909,880.4,886.95,895.8022628,384308,28.6,-18.05,3,0,0,3,0,0,0,1.5,0,123,4,28,8,13,171
"05-03-2015",891,898.4,879.5,884.4,887.06191,306655,18.9,-6.6,1,0,0,1,0,0,0,0.75,0,63,0,15,8,18,130
"09-03-2015",884,891.8,864.2,868.65,879.1992888,299199,27.6,-15.35,1.55555555555556,0,0,1.55555555555556,0,0,0,0.18,0.0042,14.7777777777778,0,3.33333333333333,2.33333333333333,2.88888888888889,41.3333333333333
"10-03-2015",870,874.9,855.4,859.1,862.6595709,589174,19.5,-10.9,5,0,0,5,0,0,0,0.63,0,58,0,16,5,7,87
"11-03-2015",860,869.5,853.2,855.85,861.6701833,240858,16.3,-4.15,2,0,0,2,0,0,0,0.29,0.1364,30,0,13,4,5,81
"12-03-2015",860,866.2,855.55,863.75,860.4606592,218285,10.65,3.75,1,0,0,1,0,0,0,0.92,0.2027,62,0,15,3,5,76
"13-03-2015",869,869.95,847,850.15,855.3881165,294391,22.95,-18.85,1,0,0,1,0,0,0,0.71,-0.0889,55,0,2,8,8,86
"16-03-2015",854,854,841,842.05,843.0936584,567883,13,-11.95,1,0,0,1,0,0,0,0.0833333333333333,0.262133333333333,11.6666666666667,0,5,0.666666666666667,2.66666666666667,39
"17-03-2015",848.15,859.8,841,856.85,849.6558044,588090,18.8,8.7,0,0,0,0,0,0,0,0.58,0.2783,46,0,12,6,7,88
"18-03-2015",858,872.9,855,868.75,862.8260844,310093,17.9,10.75,2,0,0,2,0,0,0,1.29,0.31,73,0,21,8,21,128
"19-03-2015",875,876,852.1,856.25,865.9941035,254726,23.9,-18.75,1,0,0,1,0,0,0,0.75,0.329,56,0,12,13,10,121
"20-03-2015",856.1,861,848.85,854.3,855.1013033,195127,12.15,-1.8,3,1,0,2,0.1068,0,0.0665,0.88,-0.4979,64,2,23,7,3,97
"23-03-2015",856.35,863.45,838.1,842.25,846.6630081,311055,25.35,-14.1,0.333333333333333,0,0,0.333333333333333,0,0,0,0.416666666666667,0.0545333333333333,28.6666666666667,0,9.66666666666667,4.66666666666667,2.33333333333333,56.6666666666667
"24-03-2015",842.45,854.45,842.05,848.8,848.1640283,438979,12.4,6.35,2,0,0,2,0,0,0,0.21,-0.4191,26,0,3,5,6,69
"25-03-2015",850.5,850.5,840.15,844.7,843.6093368,382017,10.35,-5.8,0,0,0,0,0,0,0,0.71,0.2322,48,0,15,3,3,105
"26-03-2015",841.35,848.75,824.55,830.6,838.4993937,382644,24.2,-10.75,5,0,0,5,0,0,0,1.58,0.0282,113,0,18,9,14,153
"27-03-2015",832.6,835.15,801.5,811.75,814.3983916,535694,33.65,-20.85,3,1,0,2,0.1068,0,0.0438,1.67,0.3816,106,4,30,14,17,239
"30-03-2015",816,818,796.75,810.35,806.9025364,451512,21.25,-5.65,1.33333333333333,0,0,1.33333333333333,0,0,0,0.5,0.0143666666666667,34.3333333333333,0.333333333333333,10.3333333333333,3.66666666666667,3.33333333333333,104.333333333333
"31-03-2015",816.1,832.05,816.1,824.7,826.4697533,314795,15.95,8.6,4,0,1,2,0,-0.1068,-0.0611,1.67,-0.1109,124,3,14,13,23,203
"01-04-2015",824.95,838,814,834.55,825.3381575,254414,24,9.6,11,4,0,7,0.4197,0,0.1301,1,0.664,57,1,15,3,34,184
"06-04-2015",835.3,837.95,821.45,824,825.9740945,219606,16.5,-11.3,2,1.25925925925926,0,0.740740740740741,0.125055555555556,0,0.136355555555556,0.183703703703704,0.192896296296296,17.4074074074074,0,5,1.62962962962963,4.44444444444444,48.4444444444444
"07-04-2015",825.1,835.9,825.1,832.8,831.5252937,255261,10.8,7.7,1,0,0,1,0,0,0,0.96,0.1019,52,0,10,3,5,96
"08-04-2015",836,869.15,833,865.5,855.2378426,651313,36.15,29.5,2,1,0,1,0.1068,0,0.0708,1,0.3044,62,3,7,6,29,157
"09-04-2015",866.1,898.9,860,894.95,873.7122564,1119528,38.9,28.85,12,5,0,7,0.3078,0,0.2828,1.33,0.66,77,2,18,3,14,139
"10-04-2015",895,906.7,889,903.65,899.4758474,478685,17.7,8.65,12,1,0,11,0.1068,0,0.004,1.79,0.5563,145,0,30,6,9,164
"13-04-2015",908.4,925,898.6,922.4,914.2493872,469162,26.4,14,3,0.666666666666667,0.333333333333333,1.66666666666667,0.0356,-0.0356,0.0457,0.583333333333333,0.384833333333333,43.3333333333333,0.333333333333333,10,1.66666666666667,14.3333333333333,73.3333333333333
"15-04-2015",920.9,939.4,907.6,923.75,923.0056222,513681,31.8,2.85,4,0,0,6,0,0,0,2.46,-0.1521,228,4,37,7,11,264
"16-04-2015",926.15,937.6,919,927.45,928.2114055,499935,18.6,1.3,2,0,0,3,0,0,0,1.33,0.113,96,1,30,1,15,165
"17-04-2015",935.4,943.8,923.15,926.85,934.424999,462394,20.65,-8.55,25,16,1,7,0.6171,-0.0196,0.8453,2.42,0.6648,348,4,46,12,97,291
"20-04-2015",936.55,937.95,878.75,885.55,902.9582023,827606,59.2,-51,5.66666666666667,2.66666666666667,1,2,0.120233333333333,-0.0722333333333333,0.149033333333333,1.30666666666667,0.744966666666667,106.333333333333,2,14,14.3333333333333,45,153
"21-04-2015",888,895.05,872.45,875.9,885.4458176,425129,22.6,-12.1,3,1,0,2,0.1068,-0.1068,0.0496,1.21,0.708,95,1,14,20,33,192
"22-04-2015",880.6,886.6,867.6,879.9,877.5856031,302454,19,-0.7,2,0,0,2,0,0,0,0.5,0.6344,34,0,11,3,6,89
"23-04-2015",884.65,889.9,869.25,877,878.6231842,310531,20.65,-7.65,0,0,0,0,0,0,0,0.88,-0.0907,58,0,16,8,7,115
"24-04-2015",876.85,883.95,868.4,879.4,877.5209617,307251,15.55,2.55,2,0,0,2,0,0,0,0.79,0.3916,53,0,9,4,5,93
